City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,robertsport,6.7533,-11.3686,27.86,80,25,2.19,LR,1683514258
118,rongelap,11.1635,166.8941,27.45,80,61,8.2,MH,1683514258
119,new norfolk,-42.7826,147.0587,13.17,70,100,0.45,AU,1683514258
120,zapolyarnyy,69.4154,30.8136,2.6,94,100,3.61,RU,1683514259
121,punta arenas,-53.15,-70.9167,8.06,71,0,6.17,CL,1683514253
122,atafu village,-8.5421,-172.5159,29.16,75,7,3.98,TK,1683514259
123,tura,25.5198,90.2201,31.58,34,0,2.8,IN,1683514260
124,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,46,75,7.0,RU,1683514260
125,thompson,55.7435,-97.8558,16.09,39,20,2.06,CA,1683514260
126,xinyuan,37.3,99.0,1.66,94,100,1.49,CN,1683514261
127,ruwa,-17.8972,31.2371,10.07,56,0,1.31,ZW,1683514261
128,giddarbaha,30.2,74.6667,29.95,20,0,1.24,IN,1683514262
129,xilin hot,43.9667,116.0333,16.38,28,36,3.34,CN,1683514262
130,amarante do maranhao,-5.5667,-46.7422,22.55,90,77,0.86,BR,1683514262
131,omdurman,15.6445,32.4777,30.16,12,8,7.27,SD,1683514262
132,luganville,-15.5333,167.1667,28.65,70,29,3.31,VU,1683514263
133,siwa oasis,29.2041,25.5195,18.08,55,0,2.18,EG,1683514263
134,byaroza,52.5314,24.9786,0.87,79,5,3.12,BY,1683514263
135,boende,-0.2167,20.8667,22.18,98,100,0.75,CD,1683514263
136,timbuktu,16.7735,-3.0074,33.86,25,100,6.89,ML,1683514264
137,vorgashor,67.5833,63.95,-9.66,86,100,9.68,RU,1683514264
138,saudarkrokur,65.7461,-19.6394,7.82,87,84,1.14,IS,1683514264
139,nar'yan-mar,67.6713,53.087,-4.82,92,52,3.05,RU,1683514264
140,ayame,5.6083,-3.1563,23.68,91,99,0.42,CI,1683514265
141,itoman,26.1247,127.6694,23.01,78,75,8.75,JP,1683514265
142,gaigeturi,33.4644,126.3183,16.03,67,0,4.63,KR,1683514265
143,dolinsk,47.35,142.8,10.8,48,90,2.5,RU,1683514266
144,mount gambier,-37.8333,140.7667,13.05,75,96,4.4,AU,1683514266
145,tual,-5.6667,132.75,28.91,76,99,5.79,ID,1683514266
146,page,36.9147,-111.4558,23.88,18,0,5.81,US,1683514266
147,porto franco,-6.3383,-47.3992,23.19,89,89,0.4,BR,1683514267
148,todos santos,23.45,-110.2167,19.81,77,81,4.24,MX,1683514267
149,ma'rib,15.4591,45.3253,25.57,19,33,1.55,YE,1683514267
150,el calafate,-50.3408,-72.2768,5.57,73,98,1.99,AR,1683514268
151,port macquarie,-31.4333,152.9167,19.94,35,10,6.99,AU,1683514121
152,raiganj,25.6167,88.1167,32.27,28,0,3.07,IN,1683514268
153,matoury,4.8483,-52.3317,24.98,100,100,0.51,GF,1683514268
154,nemuro,43.3236,145.575,1.36,98,100,6.61,JP,1683514269
155,curuca,-0.7289,-47.8481,24.12,95,79,2.16,BR,1683514269
156,nova vicosa,-17.8919,-39.3719,23.91,86,9,2.98,BR,1683514269
157,suntar,62.1444,117.6319,-0.14,61,92,1.88,RU,1683514269
158,urangan,-25.3,152.9,20.58,26,0,5.05,AU,1683514270
159,laboe,54.4,10.2167,8.11,76,10,3.09,DE,1683514270
160,keflavik,64.0049,-22.5624,10.24,81,75,4.63,IS,1683514270
161,tamandare,-8.7597,-35.1047,24.93,79,13,2.29,BR,1683514270
162,souq larb'a al gharb,34.6866,-6.0027,14.3,92,7,1.94,MA,1683514271
163,saipan,15.1355,145.701,30.39,100,40,6.69,MP,1683514271
164,hammerfest,70.6634,23.6821,2.25,100,75,1.03,NO,1683514271
165,virginia beach,36.8529,-75.978,22.01,81,100,4.63,US,1683513468
166,loa janan,-0.583,117.095,27.12,91,100,0.66,ID,1683514272
167,barra de santo antonio,-9.4047,-35.5072,26.6,78,64,3.17,BR,1683514272
168,luderitz,-26.6481,15.1594,13.98,56,3,5.77,NA,1683514272
169,basoko,1.2391,23.616,21.62,97,100,1.91,CD,1683514273
170,san patricio,28.017,-97.5169,26.02,82,100,8.01,US,1683514273
171,birzebbuga,35.8258,14.5269,18.42,88,0,4.12,MT,1683514273
172,birobidzhan,48.8,132.95,19.88,21,100,3.05,RU,1683514273
173,hobyo,5.3505,48.5268,27.24,77,57,8.62,SO,1683514274
174,tazovsky,67.4667,78.7,-4.45,94,100,11.98,RU,1683514274
175,danilovgrad,42.5538,19.1461,13.87,86,60,1.31,ME,1683514274
176,pacific grove,36.6177,-121.9166,14.58,78,0,4.63,US,1683514275
177,alice springs,-23.7,133.8833,15.75,21,28,7.72,AU,1683514275
178,lucapa,-8.4192,20.7447,17.51,68,10,1.6,AO,1683514275
179,nogliki,51.8333,143.1667,6.69,63,96,4.31,RU,1683514276
180,aykhal,66.0,111.5,-6.2,74,57,5.04,RU,1683514276
181,cudillero,43.5622,-6.1459,13.28,93,0,3.09,ES,1683514276
182,colonia,50.9333,6.95,15.54,88,0,2.57,DE,1683514277
183,harstad,68.799,16.5293,5.66,100,100,7.15,NO,1683514277
184,taunggyi,20.7833,97.0333,31.22,33,40,1.27,MM,1683514278
185,egilsstadir,65.2653,-14.3948,7.95,81,75,2.06,IS,1683514278
186,nikfer,37.4054,29.1373,8.31,87,0,2.2,TR,1683514279
187,tanaina,61.6269,-149.4281,9.58,68,100,7.72,US,1683514279
188,anadyr,64.75,177.4833,0.28,80,0,7.6,RU,1683514279
189,mundybash,53.211,87.2983,20.13,38,0,1.09,RU,1683514279
190,antsiranana,-12.2787,49.2917,23.49,78,5,5.59,MG,1683514280
191,selibaby,15.159,-12.1829,32.23,15,86,3.44,MR,1683514280
192,taksimo,56.3444,114.8794,6.73,41,100,3.06,RU,1683514280
193,ontario,34.0633,-117.6509,19.02,59,20,5.81,US,1683513712
194,las trojes,14.0667,-85.9833,21.85,64,100,2.0,HN,1683514281
195,alofi,-19.0595,-169.9187,26.94,78,89,2.57,NU,1683514281
196,mossel bay,-34.1831,22.146,11.96,81,0,2.44,ZA,1683514281
197,arraial do cabo,-22.9661,-42.0278,23.7,87,0,6.4,BR,1683514282
198,ad dawadimi,24.5077,44.3924,24.64,18,81,2.43,SA,1683514282
199,ciudad lazaro cardenas,17.9583,-102.2,26.88,74,2,2.27,MX,1683514282
200,kokopo,-4.352,152.2633,29.13,76,99,2.46,PG,1683514282
201,benjamin hill,30.1667,-111.1,24.12,15,0,3.74,MX,1683514283
202,la'ie,21.6477,-157.9253,27.98,71,100,2.24,US,1683514283
203,moranbah,-22.0016,148.0466,22.3,23,25,6.4,AU,1683514283
204,champerico,14.3,-91.9167,29.94,72,3,1.98,GT,1683514284
205,port lincoln,-34.7333,135.8667,14.15,68,100,4.24,AU,1683514284
206,swift current,50.2834,-107.8014,13.45,54,100,5.14,CA,1683514254
207,enewetak,11.3474,162.3373,27.46,79,100,7.14,MH,1683514285
208,uturoa,-16.7333,-151.4333,27.82,76,99,3.71,PF,1683514285
209,ilam,26.9167,87.9167,25.88,36,0,1.97,NP,1683514285
210,whitehorse,60.7161,-135.0538,13.43,30,40,6.71,CA,1683514285
211,manadhoo,5.7667,73.3833,29.22,72,58,6.29,MV,1683514286
212,ramadi,33.4226,43.3058,23.03,34,0,3.43,IQ,1683514286
213,comodoro rivadavia,-45.8667,-67.5,3.92,87,0,2.57,AR,1683513893
214,altay,47.8667,88.1167,7.47,68,100,1.66,CN,1683514287
215,sakakah,29.9697,40.2064,20.76,28,0,4.03,SA,1683514287
216,swakopmund,-22.6833,14.5333,12.77,91,0,0.89,NA,1683514287
217,stanley,54.868,-1.6985,10.97,91,0,0.51,GB,1683513995
218,lebu,-37.6167,-73.65,9.32,82,1,5.06,CL,1683514093
219,st. john's,47.5649,-52.7093,4.66,73,75,9.77,CA,1683514269
220,avarua,-21.2078,-159.775,26.03,94,100,1.03,CK,1683514288
221,youkounkoun,12.5333,-13.1333,30.04,46,100,3.3,GN,1683514289
222,geraldton,-28.7667,114.6,24.23,33,75,11.83,AU,1683514289
223,at taj,24.2049,23.2857,18.14,35,0,3.77,LY,1683514289
224,imbituba,-28.24,-48.6703,21.32,91,96,5.44,BR,1683514289
225,macapa,0.0389,-51.0664,25.99,100,40,1.54,BR,1683514290
226,kuching,1.55,110.3333,30.12,83,40,3.09,MY,1683514290
227,kolondieba,11.0882,-6.8926,27.53,59,100,2.14,ML,1683514291
228,kish,26.5578,54.0194,23.15,94,4,0.0,IR,1683514291
229,kegen,43.0197,79.2203,8.01,34,8,0.43,KZ,1683514291
230,namtsy,62.7161,129.6658,-2.04,52,17,6.9,RU,1683514291
231,sao joao nepomuceno,-21.54,-43.0106,17.76,93,17,0.34,BR,1683514292
232,pingliang,35.5392,106.6861,8.26,95,100,2.89,CN,1683514292
233,port blair,11.6667,92.75,30.69,67,100,1.19,IN,1683514292
234,constantia,44.1833,28.65,9.38,71,74,1.12,RO,1683514293
235,haiku-pauwela,20.9219,-156.3051,27.01,64,40,12.86,US,1683514293
236,berezovo,63.9381,65.0419,-0.81,67,93,5.42,RU,1683514293
237,kemijarvi,66.7131,27.4306,-0.43,97,100,2.63,FI,1683514294
238,fonte boa,-2.4959,-66.2662,23.7,97,22,1.14,BR,1683514294
239,hithadhoo,-0.6,73.0833,28.55,73,71,6.24,MV,1683514295
240,muroto-misakicho,33.2833,134.15,17.81,60,82,5.35,JP,1683514295
241,san luis de la loma,17.2706,-100.8939,28.15,71,29,3.12,MX,1683514295
242,sann,26.0418,68.1378,23.95,19,0,3.39,PK,1683514295
243,zhangye,38.9342,100.4517,6.71,86,100,7.37,CN,1683514296
244,lihue,21.9789,-159.3672,27.58,67,20,7.72,US,1683514239
245,shalqar,47.8333,59.6,17.16,47,32,3.81,KZ,1683514296
246,walvis bay,-22.9575,14.5053,12.83,93,0,1.54,NA,1683514297
247,rubtsovsk,51.5,81.25,19.74,41,0,1.05,RU,1683514297
248,baruun-urt,46.6806,113.2792,14.4,24,18,2.83,MN,1683514297
249,massawa,15.6097,39.45,29.22,63,79,1.74,ER,1683514298
250,zeya,53.75,127.2667,6.52,67,100,7.08,RU,1683514298
251,marion,39.7684,-86.1555,19.65,86,75,2.06,US,1683514233
252,bu'aale,1.0833,42.5833,23.2,96,35,2.07,SO,1683514299
253,tralee,52.2704,-9.7026,12.99,99,100,2.34,IE,1683514299
254,vilyuysk,63.7553,121.6247,-4.32,65,97,3.16,RU,1683514299
255,guayaramerin,-10.8368,-65.3614,22.65,99,99,1.17,BO,1683514300
256,al qusayr,34.5091,36.5798,12.82,88,22,0.77,SY,1683514302
257,flin flon,54.7682,-101.865,10.91,57,50,1.55,CA,1683514302
258,kyzyl-mazhalyk,51.1333,90.6,13.28,40,81,2.05,RU,1683514303
259,dondo,-19.6094,34.7431,23.73,96,15,2.26,MZ,1683514303
260,ponta delgada,37.7333,-25.6667,18.4,94,75,6.17,PT,1683514303
261,weno,7.4515,151.8468,30.97,70,75,4.12,FM,1683514304
262,sittwe,20.15,92.9,31.35,50,6,1.08,MM,1683514304
263,tofol,5.3248,163.0078,26.88,89,100,1.54,FM,1683514304
264,nazarabad,35.9521,50.6075,22.45,23,34,3.45,IR,1683514304
265,olutanga,7.3106,122.8464,29.17,71,81,2.13,PH,1683514305
266,hilo,19.7297,-155.09,25.85,74,40,2.06,US,1683514305
267,opuwo,-18.0607,13.84,17.76,37,0,1.19,NA,1683514305
268,inari,68.906,27.0288,4.11,88,100,2.53,FI,1683514306
269,daru,-9.0763,143.2092,28.52,81,35,6.21,PG,1683514306
270,zaozersk,69.4005,32.4476,0.9,91,100,6.73,RU,1683514306
271,lycksele,64.5954,18.6735,0.93,75,77,0.0,SE,1683514307
272,byron bay,-28.65,153.6167,20.39,27,0,4.52,AU,1683514307
273,lompoc,34.6391,-120.4579,16.12,84,20,8.23,US,1683514025
274,wanparti,16.3667,78.0667,29.49,55,28,2.9,IN,1683514308
275,island harbour,50.724,-1.2758,11.37,95,100,0.89,GB,1683514308
276,chonchi,-42.6128,-73.8092,7.29,95,36,0.54,CL,1683514093
277,vadso,70.0744,29.7487,3.49,87,75,5.14,NO,1683514308
278,nema,57.5067,50.5011,1.41,61,7,3.66,RU,1683514309
279,sale,34.0389,-6.8166,17.02,100,11,0.0,MA,1683514141
280,singkil,-7.9855,111.4161,29.44,64,80,2.06,ID,1683514309
281,isafjordur,66.0755,-23.124,6.34,93,99,2.0,IS,1683514306
282,la passe,45.5549,-0.8967,14.43,91,38,1.98,FR,1683514310
283,newman,37.3138,-121.0208,21.19,62,52,3.38,US,1683514310
284,fort bragg,35.139,-79.006,22.91,66,0,5.14,US,1683514311
285,fale old settlement,-9.3852,-171.2468,29.09,75,40,4.32,TK,1683514311
